                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                 1.0162,                0.54066,                 1.0428,                0.91451,                0.97486,                 0.9915,                0.58859,                 1.5594,                0.59054,                 1.3597,             0.00075904,             0.00075904,             0.00075904
                     99,                 1.0777,                0.57004,                 1.0725,                0.91573,                0.98125,                  0.995,                0.61757,                 1.4728,                 0.5548,                 1.3159,             0.00075537,             0.00075537,             0.00075537
                    100,                 1.0753,                0.55043,                 1.0796,                0.93916,                0.94735,                0.98482,                 0.6321,                  1.347,                0.52436,                 1.2453,              0.0007517,              0.0007517,              0.0007517
                    101,                 1.1109,                0.54305,                 1.0863,                0.93916,                0.94735,                0.98482,                 0.6321,                  1.347,                0.52436,                 1.2453,             0.00074804,             0.00074804,             0.00074804
                    102,                 1.0337,                0.55899,                 1.0712,                0.90581,                0.95282,                0.98333,                 0.6184,                 1.3977,                0.59666,                 1.2842,             0.00074437,             0.00074437,             0.00074437
                    103,                 1.1076,                0.55884,                 1.0793,                0.95534,                0.98584,                  0.995,                0.59343,                 1.5252,                0.52584,                 1.3638,              0.0007407,              0.0007407,              0.0007407
                    104,                 1.0931,                0.56864,                 1.0851,                0.96222,                0.98363,                0.97013,                 0.5539,                 1.6387,                0.54119,                 1.4281,             0.00073704,             0.00073704,             0.00073704
                    105,                 1.1138,                 0.5456,                 1.1258,                0.96222,                0.98363,                0.97013,                 0.5539,                 1.6387,                0.54119,                 1.4281,             0.00073337,             0.00073337,             0.00073337
                    106,                 1.1295,                0.54064,                 1.0939,                0.96195,                0.98153,                0.98327,                0.58926,                 1.5835,                0.53054,                 1.3807,              0.0007297,              0.0007297,              0.0007297
                    107,                 1.0639,                0.53012,                 1.0635,                0.95726,                0.97087,                  0.988,                0.61814,                 1.4496,                0.51026,                 1.2988,             0.00072604,             0.00072604,             0.00072604
                    108,                 1.0679,                 0.5515,                 1.0902,                0.93445,                0.96321,                  0.988,                0.62569,                 1.4376,                0.54441,                 1.3206,             0.00072237,             0.00072237,             0.00072237
                    109,                 1.1503,                0.57288,                 1.0897,                0.93445,                0.96321,                  0.988,                0.62569,                 1.4376,                0.54441,                 1.3206,             0.00071871,             0.00071871,             0.00071871
                    110,                 1.0242,                0.52779,                 1.0526,                0.87697,                0.95573,                0.98078,                0.62177,                 1.4491,                 0.5799,                  1.331,             0.00071504,             0.00071504,             0.00071504
                    111,                 1.0785,                0.55129,                 1.0954,                0.86767,                0.94192,                 0.9655,                 0.6164,                 1.4145,                0.58449,                 1.2825,             0.00071137,             0.00071137,             0.00071137
                    112,                   1.08,                0.53192,                 1.0878,                0.93336,                0.92655,                  0.949,                0.63215,                 1.3236,                 0.5916,                  1.217,             0.00070771,             0.00070771,             0.00070771
                    113,                 1.0187,                0.50631,                  1.065,                0.93336,                0.92655,                  0.949,                0.63215,                 1.3236,                 0.5916,                  1.217,             0.00070404,             0.00070404,             0.00070404
                    114,                 1.0606,                0.55271,                 1.0795,                0.93396,                0.89072,                0.93259,                 0.6357,                 1.2703,                0.61305,                 1.1808,             0.00070037,             0.00070037,             0.00070037
                    115,                 1.0663,                0.59466,                 1.0819,                0.94185,                0.94631,                 0.9935,                0.67138,                 1.2739,                0.52785,                 1.1935,             0.00069671,             0.00069671,             0.00069671
                    116,                 1.0279,                0.50877,                 1.0585,                0.91344,                 0.9811,                  0.995,                0.64659,                 1.3577,                0.52641,                 1.2614,             0.00069304,             0.00069304,             0.00069304
                    117,                 1.1096,                0.54352,                 1.0688,                0.91344,                 0.9811,                  0.995,                0.64659,                 1.3577,                0.52641,                 1.2614,             0.00068938,             0.00068938,             0.00068938
                    118,                 1.0186,                0.48635,                 1.0456,                0.91959,                0.96145,                  0.992,                0.63565,                 1.3475,                0.54522,                 1.2457,             0.00068571,             0.00068571,             0.00068571
                    119,                 1.0762,                0.51557,                  1.064,                0.91729,                0.98714,                 0.9815,                0.65668,                 1.2675,                0.53023,                 1.1842,             0.00068204,             0.00068204,             0.00068204
                    120,                 1.0437,                0.53528,                 1.0702,                0.96575,                0.98668,                   0.98,                0.68262,                 1.1721,                0.45914,                 1.1177,             0.00067838,             0.00067838,             0.00067838
                    121,                 1.1152,                0.52111,                 1.1465,                0.96575,                0.98668,                   0.98,                0.68262,                 1.1721,                0.45914,                 1.1177,             0.00067471,             0.00067471,             0.00067471
                    122,                 1.0264,                0.49439,                 1.0571,                0.97555,                0.98783,                  0.995,                 0.7039,                  1.126,                0.42491,                 1.0865,             0.00067104,             0.00067104,             0.00067104
                    123,                 1.0372,                0.47928,                 1.0477,                0.96568,                0.98906,                  0.995,                0.67502,                 1.2807,                0.43369,                 1.1515,             0.00066738,             0.00066738,             0.00066738
                    124,                 1.0078,                0.48101,                 1.0374,                0.98904,                0.99661,                  0.995,                0.60674,                 1.5154,                0.46573,                 1.3345,             0.00066371,             0.00066371,             0.00066371
                    125,                 1.0154,                0.49399,                 1.0575,                0.98904,                0.99661,                  0.995,                0.60674,                 1.5154,                0.46573,                 1.3345,             0.00066005,             0.00066005,             0.00066005
                    126,                 1.0838,                0.51213,                 1.1006,                0.98626,                      1,                  0.995,                0.56937,                 1.6836,                0.49415,                 1.4748,             0.00065638,             0.00065638,             0.00065638
                    127,                0.98282,                0.46975,                 1.0635,                0.98599,                      1,                  0.995,                0.56576,                 1.6247,                 0.4815,                 1.4139,             0.00065271,             0.00065271,             0.00065271
                    128,                 1.0724,                 0.4914,                 1.0998,                0.99054,                      1,                  0.995,                0.60734,                 1.4526,                0.45289,                 1.2826,             0.00064905,             0.00064905,             0.00064905
                    129,                0.99687,                0.51069,                 1.0522,                0.99054,                      1,                  0.995,                0.60734,                 1.4526,                0.45289,                 1.2826,             0.00064538,             0.00064538,             0.00064538
                    130,                0.96036,                0.50994,                 1.0198,                0.95461,                0.97585,                  0.995,                0.65152,                 1.3507,                0.47749,                 1.2368,             0.00064171,             0.00064171,             0.00064171
                    131,                0.99786,                0.48175,                 1.0147,                0.85464,                  0.975,                0.98145,                0.64219,                 1.3396,                0.58229,                 1.2424,             0.00063805,             0.00063805,             0.00063805
                    132,                 1.0507,                0.53321,                 1.0817,                0.99142,                 0.9885,                  0.995,                0.65964,                  1.252,                0.44333,                 1.1876,             0.00063438,             0.00063438,             0.00063438
                    133,                 1.0343,                 0.4798,                 1.0536,                0.99142,                 0.9885,                  0.995,                0.65964,                  1.252,                0.44333,                 1.1876,             0.00063071,             0.00063071,             0.00063071
                    134,                 1.0249,                0.52924,                 1.0606,                0.99131,                0.98861,                  0.995,                 0.6828,                 1.1957,                0.42695,                 1.1483,             0.00062705,             0.00062705,             0.00062705
                    135,                 1.1053,                0.50491,                 1.0422,                 0.9862,                 0.9944,                  0.995,                0.66398,                  1.307,                0.44153,                 1.2024,             0.00062338,             0.00062338,             0.00062338
                    136,                 1.0074,                0.54113,                 1.0371,                0.95341,                0.97126,                0.98944,                0.61341,                 1.4434,                0.49772,                 1.2871,             0.00061972,             0.00061972,             0.00061972
                    137,                 1.0119,                0.50061,                 1.0584,                0.95341,                0.97126,                0.98944,                0.61341,                 1.4434,                0.49772,                 1.2871,             0.00061605,             0.00061605,             0.00061605
                    138,                0.99596,                0.50894,                 1.0521,                0.95827,                0.97482,                0.99233,                0.59633,                 1.5233,                 0.5134,                 1.3444,             0.00061238,             0.00061238,             0.00061238
                    139,                 1.0118,                 0.5088,                 1.0571,                0.95212,                 0.9653,                0.98393,                 0.6041,                 1.4747,                0.51118,                   1.31,             0.00060872,             0.00060872,             0.00060872
                    140,                  1.016,                0.47828,                 1.0557,                0.94067,                0.96716,                0.97549,                0.62793,                 1.3167,                 0.4889,                 1.1958,             0.00060505,             0.00060505,             0.00060505
                    141,                 1.0002,                0.52159,                  1.032,                0.94067,                0.96716,                0.97549,                0.62793,                 1.3167,                 0.4889,                 1.1958,             0.00060138,             0.00060138,             0.00060138
                    142,                0.95781,                0.47091,                 1.0255,                0.97452,                0.97143,                 0.9915,                0.66814,                 1.2699,                 0.4529,                 1.1664,             0.00059772,             0.00059772,             0.00059772
                    143,                 1.0409,                0.50977,                 1.0525,                0.99055,                      1,                  0.995,                0.65224,                 1.3118,                0.44033,                 1.1936,             0.00059405,             0.00059405,             0.00059405
                    144,                0.94838,                0.48245,                 1.0102,                0.98508,                      1,                  0.995,                0.62143,                  1.403,                0.44976,                  1.258,             0.00059039,             0.00059039,             0.00059039
                    145,                0.97958,                0.48802,                 1.0561,                0.98508,                      1,                  0.995,                0.62143,                  1.403,                0.44976,                  1.258,             0.00058672,             0.00058672,             0.00058672
                    146,                0.98309,                0.49261,                 1.0406,                0.98817,                      1,                  0.995,                0.61684,                 1.4276,                0.45323,                 1.2786,             0.00058305,             0.00058305,             0.00058305
                    147,                0.96549,                0.46974,                 1.0191,                0.98897,                      1,                  0.995,                0.63053,                 1.4051,                0.43762,                 1.2752,             0.00057939,             0.00057939,             0.00057939
                    148,                 1.0226,                 0.4949,                 1.0589,                0.99106,                      1,                  0.995,                0.63693,                 1.3786,                0.43264,                 1.2576,             0.00057572,             0.00057572,             0.00057572
                    149,                0.93839,                0.47813,                  1.003,                0.99106,                      1,                  0.995,                0.63693,                 1.3786,                0.43264,                 1.2576,             0.00057205,             0.00057205,             0.00057205
                    150,                 0.9811,                0.51985,                 1.0433,                0.99027,                      1,                  0.995,                0.65726,                 1.3246,                0.43204,                 1.2221,             0.00056839,             0.00056839,             0.00056839
